timestamp,month,day,external-temperature,longitude,latitude,id
2007-03-20 04:02:19,3,20,-8.4,10.995412,46.0104235,original
2007-03-20 00:01:53,3,20,-8.6,10.9992946,46.008436,original
2007-03-19 20:02:11,3,19,-7.3,10.999108,46.0083056,original
2007-03-19 16:01:48,3,19,-5.8,10.9934624,46.0114651,original
2007-03-19 12:02:41,3,19,-0.9,10.9996991,46.0082206,original
2007-03-19 08:01:38,3,19,10.2,10.9992107,46.0095193,original
2007-03-19 04:01:13,3,19,-0.7,10.9979615,46.009234,original
2007-03-19 00:02:47,3,19,-0.2,10.9998197,46.0104935,original
2007-03-18 20:01:11,3,18,1.4,10.9982785,46.0103507,original
2007-03-18 16:02:41,3,18,3.9,10.9973944,46.0111104,original
2007-03-18 12:03:04,3,18,4.8,10.9965493,46.01103,original
2007-03-18 08:01:23,3,18,1.6,10.9983581,46.0085724,original
2007-03-18 04:00:56,3,18,2.2,11.0083445,46.0046185,original
2007-03-18 00:02:05,3,18,2.4,11.0083572,46.005067,original
2007-03-17 20:02:42,3,17,4.4,11.0083565,46.0052018,original
2007-03-17 16:03:02,3,17,6.1,11.0072573,46.0046997,original
2007-03-17 12:01:53,3,17,4.9,11.0073175,46.0052717,original
2007-03-17 08:02:11,3,17,2.3,11.0069821,46.004878,original
2007-03-17 04:01:47,3,17,1.8,11.00836,46.0045906,original
2007-03-17 00:01:24,3,17,3.1,11.0083621,46.0051422,original
2007-03-16 20:01:53,3,16,3.8,11.0085143,46.0060581,original
2007-03-16 16:02:26,3,16,5.8,11.001809,46.0038578,original
2007-03-16 12:02:42,3,16,4.8,11.0126744,46.0003721,original
2007-03-16 08:00:44,3,16,2.6,11.0208261,46.0068922,original
2007-03-16 04:01:12,3,16,1.2,11.0438061,46.012394,original
2007-03-16 00:00:53,3,16,2.6,11.0438067,46.012353,original
2007-03-15 20:01:17,3,15,3.9,11.0447007,46.0118231,original
2007-03-15 16:01:18,3,15,5.3,11.0466729,46.0096825,original
2007-03-15 12:03:02,3,15,3.7,11.0508916,46.0051186,original
2007-03-15 08:01:42,3,15,0.6,11.0497183,46.0081198,original
2007-03-15 04:00:53,3,15,1.1,11.0465354,46.0098372,original
2007-03-15 00:01:22,3,15,2.1,11.0464245,46.0098716,original
2007-03-14 20:01:53,3,14,4.3,11.0517599,46.009594,original
2007-03-14 16:00:53,3,14,6.4,11.0469149,46.0098535,original
2007-03-14 12:03:00,3,14,4.4,11.0492384,46.0093598,original
2007-03-14 08:00:56,3,14,1.6,11.0544391,46.0069634,original
2007-03-14 04:00:44,3,14,2.2,11.0405097,46.0115161,original
2007-03-14 00:01:18,3,14,4.0,11.0405678,46.0115677,original
2007-03-13 20:00:56,3,13,4.8,11.052895,46.0098292,original
