name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"trento, Italy",2007-02-04T12:00:00,-0.8,-8.2,-14.8,33.71,0,0,,0,39,,37.3,360,1025.5,39.2,65,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-04T13:00:00,-0.7,-8,-14.5,34.33,0,0,,0,39,,36.1,358,,38.1,67.4,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-04T14:00:00,-0.4,-7.4,-13.9,35.28,0,0,,0,39,,34.3,360,1024.9,29.4,65,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-04T15:00:00,0.5,-6.5,-13.9,33.26,0,0,,0,39,,37.3,19,1024.7,29.4,65,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-04T16:00:00,0.6,-6.6,-13.8,33.06,0,0,,0,39,,40.5,350,,28.7,67.3,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-04T17:00:00,1.4,-5.5,-14.2,30.3,0,0,,0,39,,40.5,350,1024,29.4,65,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-04T18:00:00,1.4,-5.7,-14.7,29.1,0,0,,0,39,,41.2,5,1023.5,9.8,57.1,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-04T19:00:00,1,-6.4,-15.3,28.52,0,0,,0,39,,44.9,356,,0,50,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-04T20:00:00,1.4,-5.4,-15.8,26.59,0,0,,0,39,,37.5,355,1026.1,0,39.3,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-04T21:00:00,1.1,1.1,-1.8,80.98,,0,,0,39,,3.6,200,,,,,,,,Clear,clear-night,16089099999
"trento, Italy",2007-02-04T22:00:00,0.6,-5.4,-16.7,26.12,0,0,,0,39,,27.5,357,,0,40.5,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-04T23:00:00,1.8,-3.6,-17.8,21.87,0,0,,0,39,,25.1,17,1027.1,0,39.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-05T00:00:00,1.1,-3.2,-18.2,22.22,0,0,,0,39,,16.1,17,1026.1,0,39.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-05T01:00:00,1.4,-0.7,-19.5,19.43,0,0,,0,39,,7,358,,0,40.5,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
